ID,Longitude,Latitude,ag30,F030,Tcs30,ag50,F050,Tcs50,ag72,F072,Tcs72,ag101,F0101,Tcs101,ag140,F0140,Tcs140,ag201,F0201,Tcs201,ag475,F0475,Tcs475,ag975,F0975,Tcs975,ag2475,F02475,Tcs2475
31218,15.28635,41.27087,0.050005,2.3884,0.28898,0.062697,2.4773,0.32481,0.07389,2.5478,0.33278,0.087726,2.5121,0.34657,0.10184,2.5281,0.35849,0.11927,2.5537,0.36983,0.17863,2.4546,0.42889,0.24409,2.4735,0.43148,0.36482,2.4114,0.44688
31219,15.35287,41.26979,0.049014,2.3976,0.29013,0.061204,2.5222,0.32166,0.0724,2.5602,0.33422,0.086976,2.5011,0.34676,0.10045,2.5338,0.35894,0.11773,2.4832,0.40808,0.17648,2.4844,0.4233,0.24155,2.4709,0.42998,0.36335,2.3967,0.44451
31220,15.4193,41.2687,0.048029,2.4134,0.29035,0.059911,2.5583,0.3193,0.07198,2.5344,0.3359,0.086059,2.511,0.34625,0.099416,2.5352,0.35927,0.11652,2.4867,0.40991,0.17498,2.4982,0.41978,0.24006,2.4658,0.42828,0.36315,2.383,0.44255
31221,15.48584,41.26754,0.047109,2.4287,0.29015,0.059004,2.5613,0.31894,0.07189,2.5087,0.33567,0.08514,2.515,0.34626,0.098462,2.5262,0.36052,0.11633,2.4711,0.41094,0.1738,2.5056,0.41658,0.23921,2.4582,0.42652,0.3636,2.3706,0.44064
31222,15.55233,41.26636,0.046293,2.4395,0.29007,0.058211,2.5628,0.31836,0.07182,2.493,0.33418,0.084277,2.5147,0.34658,0.097592,2.5192,0.36185,0.11655,2.454,0.41063,0.17295,2.5039,0.41442,0.23882,2.4497,0.42489,0.36451,2.36,0.43887
31223,15.61881,41.26513,0.045604,2.4622,0.28864,0.057556,2.5613,0.31794,0.07167,2.4819,0.33309,0.08358,2.5098,0.34722,0.096918,2.5148,0.36352,0.11705,2.4331,0.41026,0.17246,2.4989,0.41245,0.23884,2.4416,0.4231,0.36577,2.3512,0.43714
31224,15.6853,41.26387,0.044944,2.4837,0.28645,0.057113,2.5846,0.29705,0.07109,2.4836,0.33184,0.082894,2.5063,0.34741,0.096283,2.5117,0.36472,0.11653,2.4336,0.40952,0.17214,2.4936,0.41025,0.23906,2.4343,0.42106,0.36718,2.3433,0.43524
31225,15.75178,41.26257,0.04432,2.5022,0.28343,0.056965,2.5644,0.29785,0.07049,2.485,0.33041,0.082204,2.5043,0.34769,0.09567,2.5106,0.36462,0.11604,2.4331,0.40814,0.17195,2.4881,0.40821,0.23945,2.4273,0.41903,0.36872,2.3359,0.43343
31226,15.81826,41.26122,0.0437,2.5186,0.28045,0.056738,2.5476,0.29825,0.06989,2.4825,0.32917,0.08152,2.5016,0.34726,0.095094,2.5094,0.36362,0.11561,2.4349,0.4053,0.17189,2.4816,0.40568,0.24001,2.42,0.41686,0.37043,2.329,0.43165
31227,15.88475,41.25985,0.043072,2.532,0.27871,0.056428,2.5372,0.29784,0.06928,2.48,0.32768,0.080831,2.4987,0.34598,0.094532,2.507,0.36187,0.11522,2.434,0.4016,0.17194,2.4748,0.40218,0.24077,2.4121,0.41427,0.37226,2.323,0.42971
31228,15.95123,41.25842,0.042407,2.5422,0.27739,0.055992,2.5319,0.2966,0.06863,2.4776,0.32577,0.080117,2.4948,0.34376,0.093968,2.5023,0.35927,0.11481,2.4934,0.36507,0.17202,2.5339,0.36582,0.24158,2.4042,0.41103,0.37413,2.3171,0.42763
31229,16.01768,41.25697,0.041658,2.5502,0.27608,0.055408,2.5272,0.29509,0.06789,2.4751,0.32377,0.079433,2.4867,0.34132,0.093311,2.4955,0.35586,0.11429,2.4813,0.36248,0.17201,2.5284,0.36327,0.24233,2.3962,0.40744,0.37596,2.311,0.42546
